CATALOGO_PRODUCTO_ID,NOMBRE,PRECIO,DESCRIPCION
281,"Cat, miner's",3370,"Revision of Autologous Tissue Substitute in Left Finger Phalangeal Joint, Percutaneous Endoscopic Approach"
282,Civet (unidentified),2654,"Introduction of Liquid Brachytherapy Radioisotope into Ear, Via Natural or Artificial Opening"
283,"Monitor, white-throated",2545,"Supplement Left Upper Arm with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
284,"Macaque, pig-tailed",4420,"Excision of Lower Esophagus, Percutaneous Endoscopic Approach"
285,Burrowing owl,3682,"Drainage of Upper Gingiva, Open Approach, Diagnostic"
286,Long-finned pilot whale,2531,Osteopathic Treatment of Abdomen using Lymphatic Pump
287,Red brocket,4000,"Repair Lower Esophagus, Via Natural or Artificial Opening"
288,Northern fur seal,2354,Osteopathic Treatment of Rib Cage using Fascial Release
289,"Raccoon, common",3713,"Repair Right Shoulder Muscle, Percutaneous Approach"
290,White-cheeked pintail,3919,"Fusion of Cervicothoracic Vertebral Joint with Autologous Tissue Substitute, Anterior Approach, Anterior Column, Percutaneous Endoscopic Approach"
291,"Sheep, american bighorn",2851,"Drainage of Sciatic Nerve, Percutaneous Endoscopic Approach, Diagnostic"
292,Cougar,4562,Plain Radiography of Left Internal Carotid Artery using Low Osmolar Contrast
293,Asian red fox,297,"Revision of Synthetic Substitute in Lumbar Vertebral Disc, Percutaneous Approach"
294,"Kingfisher, white-throated",1258,"Bypass Left Common Iliac Artery to Left Femoral Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
295,"Snake, buttermilk",3672,"Destruction of Right Temporomandibular Joint, Percutaneous Endoscopic Approach"
296,Grey lourie,2569,"Removal of Drainage Device from Cranial Cavity, Percutaneous Endoscopic Approach"
297,Magistrate black colobus,4365,"Extirpation of Matter from Left Lower Eyelid, Open Approach"
298,Red-tailed wambenger,1877,Immobilization of Abdominal Wall using Splint
299,Long-tailed skua,2297,Low Dose Rate (LDR) Brachytherapy of Pleura using Cesium 137 (Cs-137)
300,"Macaw, blue and yellow",745,"Drainage of Right Axilla, Percutaneous Endoscopic Approach, Diagnostic"
301,Little cormorant,1337,"Dilation of Right Renal Artery, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach"
302,"Squirrel, eastern fox",4857,"Destruction of Left Upper Lobe Bronchus, Percutaneous Endoscopic Approach"
303,Indian star tortoise,3575,"Reposition Right Shoulder Tendon, Percutaneous Endoscopic Approach"
304,North American red fox,4090,"Reposition Right Vocal Cord, Open Approach"
305,"Falcon, peregrine",1828,"Dilation of Innominate Artery, Percutaneous Approach"
306,Black kite,3595,"Supplement Atrial Septum with Autologous Tissue Substitute, Percutaneous Approach"
307,Kongoni,635,"Revision of Spacer in Left Ankle Joint, Percutaneous Endoscopic Approach"
308,Burchell's gonolek,2680,"Fusion of Lumbar Vertebral Joint with Synthetic Substitute, Anterior Approach, Anterior Column, Percutaneous Endoscopic Approach"
309,Javanese cormorant,4626,"Reposition Upper Tooth, All, with External Fixation Device, External Approach"
310,Painted stork,3725,Therapeutic Exercise Treatment of Genitourinary System using Aerobic Endurance and Conditioning Equipment
311,African ground squirrel (unidentified),124,"Drainage of Right Internal Carotid Artery, Percutaneous Approach"
312,"Monkey, black spider",1973,"Reposition Left Humeral Shaft with External Fixation Device, Percutaneous Approach"
313,"Dunnart, fat-tailed",50,"Repair Left Ulna, Percutaneous Endoscopic Approach"
314,Collared lizard,592,"Excision of Left Knee Tendon, Open Approach, Diagnostic"
315,"Pelican, australian",1432,"Restriction of Esophagogastric Junction with Intraluminal Device, Percutaneous Endoscopic Approach"
316,"Bulbul, black-fronted",2634,"Replacement of Thoracic Vertebral Joint with Nonautologous Tissue Substitute, Open Approach"
317,"Eagle, white-bellied sea",1206,"Supplement Left Large Intestine with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic"
318,Brown and yellow marshbird,4538,"Removal of Other Device from Products of Conception, Open Approach"
319,"Cat, toddy",441,"Supplement Azygos Vein with Autologous Tissue Substitute, Open Approach"
320,Lesser mouse lemur,4110,"Release Left Vertebral Vein, Percutaneous Approach"
321,"Vulture, black",3648,"Transfer Tibial Nerve to Femoral Nerve, Percutaneous Endoscopic Approach"
322,"Crow, american",1430,"Excision of Right Metatarsal, Percutaneous Approach"
323,"Macaque, bonnet",3943,"Supplement Left Little Finger with Synthetic Substitute, Open Approach"
324,Madagascar hawk owl,1060,"Bypass Right Vas Deferens to Right Epididymis with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
325,"Wallaby, red-necked",2846,"Computerized Tomography (CT Scan) of Left Tracheobronchial Tree using Low Osmolar Contrast, Unenhanced and Enhanced"
326,"Otter, oriental short-clawed",4968,"Reposition Left Humeral Head with Ring External Fixation Device, Percutaneous Endoscopic Approach"
327,Sambar,3608,"Drainage of Aortic Lymphatic with Drainage Device, Open Approach"
328,Tokay gecko,4171,"Extraction of Right Hand Vein, Percutaneous Approach"
329,"Dragonfly, russian",2491,"Revision of Infusion Device in Lumbosacral Joint, Open Approach"
330,Galapagos albatross,3457,"Removal of Internal Fixation Device from Thoracic Vertebra, Open Approach"
331,"Wambenger, red-tailed",1875,"Extirpation of Matter from Right Tympanic Membrane, Percutaneous Approach"
332,Bahama pintail,2093,"Replacement of Aortic Valve with Synthetic Substitute, Open Approach"
333,"Gonolek, burchell's",4715,"Removal of Radioactive Element from Left Eye, Open Approach"
334,"Bandicoot, short-nosed",1816,"Dilation of Inferior Mesenteric Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach"
335,"Mongoose, eastern dwarf",3494,"Dilation of Left Internal Iliac Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach"
336,Hippopotamus,4394,"Magnetic Resonance Imaging (MRI) of Inferior Vena Cava using Other Contrast, Unenhanced and Enhanced"
337,African buffalo,91,"Resection of Ileocecal Valve, Via Natural or Artificial Opening Endoscopic"
338,"Phalarope, red-necked",3436,"Insertion of Infusion Device into Lumbar Vertebral Disc, Percutaneous Endoscopic Approach"
339,Bobcat,3465,Plaque Radiation of Pelvis Lymphatics
340,"Beaver, american",3672,"Extirpation of Matter from Left Temporal Artery, Open Approach"
341,American Virginia opossum,1228,"Replacement of Right Humeral Shaft with Synthetic Substitute, Percutaneous Approach"
342,"Lion, steller's sea",1838,"Drainage of Left Fallopian Tube, Via Natural or Artificial Opening"
343,"Cat, tiger",4579,"Release Buccal Mucosa, Open Approach"
344,White-mantled colobus,1087,"Transfer Right Lower Arm and Wrist Tendon, Open Approach"
345,"Stork, black-necked",2898,"Drainage of Epiglottis with Drainage Device, Via Natural or Artificial Opening"
346,"Snake, carpet",4458,"Removal of External Fixation Device from Right Tarsal Joint, Open Approach"
347,Salmon pink bird eater tarantula,3740,Immobilization of Right Upper Arm using Brace
348,Cheetah,2195,"Repair Scrotum, Percutaneous Approach"
349,"Lion, african",536,Compression of Face using Intermittent Pressure Device
350,"Pintail, bahama",2248,"Extraction of Thoracic Sympathetic Nerve, Percutaneous Approach"
351,Wattled crane,165,"Drainage of Left Lower Arm and Wrist Tendon, Percutaneous Approach"
352,Common boubou shrike,4531,Magnetic Resonance Imaging (MRI) of Larynx
353,Suricate,742,"Drainage of Right Acromioclavicular Joint with Drainage Device, Percutaneous Approach"
354,Tayra,1538,"Drainage of Left Retinal Vessel, Percutaneous Approach, Diagnostic"
355,Palm squirrel,1563,"Excision of Sacrococcygeal Joint, Percutaneous Endoscopic Approach, Diagnostic"
356,"Gonolek, burchell's",1483,"Excision of Left Thumb Phalanx, Percutaneous Endoscopic Approach"
357,Egyptian cobra,1062,"Bypass Right Subclavian Artery to Upper Arm Vein with Autologous Arterial Tissue, Open Approach"
358,"Egret, snowy",2103,"Occlusion of Splenic Vein, Percutaneous Approach"
359,Magistrate black colobus,4935,"Inspection of Right Shoulder Joint, External Approach"
360,Red-winged hawk (unidentified),2158,"Drainage of Uvula with Drainage Device, External Approach"
361,"Kite, black",375,Beam Radiation of Chest Wall using Neutron Capture
362,Caribou,2704,"Extraction of Right Abdomen Bursa and Ligament, Percutaneous Endoscopic Approach"
363,"Trumpeter, dark-winged",114,"Restriction of Hemiazygos Vein, Percutaneous Approach"
364,Jungle cat,4582,"Insertion of Endobronchial Valve into Right Upper Lobe Bronchus, Via Natural or Artificial Opening"
365,"Duiker, gray",3108,"Drainage of Left Wrist Bursa and Ligament, Percutaneous Endoscopic Approach"
366,Yellow-billed stork,1439,"Excision of Cul-de-sac, Open Approach, Diagnostic"
367,"Vulture, black",3442,"Dilation of Hepatic Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach"
368,"Falcon, prairie",2584,Beam Radiation of Face Skin using Electrons
369,"Lemur, brown",229,"Dilation of Right Popliteal Artery with Intraluminal Device, Percutaneous Approach"
370,White-throated kingfisher,801,"Drainage of Penis, External Approach, Diagnostic"
371,Common pheasant,904,"Replacement of Right Temporal Artery with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
372,Magellanic penguin,3156,"Drainage of Right Lower Extremity Bursa and Ligament with Drainage Device, Percutaneous Approach"
373,"Kookaburra, laughing",1617,"Fusion of Right Acromioclavicular Joint with Synthetic Substitute, Percutaneous Approach"
374,Ring dove,2054,"Occlusion of Left Atrial Appendage with Intraluminal Device, Percutaneous Approach"
375,White-winged tern,3160,"Drainage of Left Lower Extremity Bursa and Ligament, Percutaneous Approach, Diagnostic"
376,Mexican boa,2364,"Repair Right Humeral Shaft, Percutaneous Approach"
377,"Lemur, ring-tailed",1978,"Resection of Right Vocal Cord, Via Natural or Artificial Opening Endoscopic"
378,Indian mynah,4424,"Removal of External Fixation Device from Right Pelvic Bone, Percutaneous Approach"
379,Great kiskadee,1298,"Fragmentation in Right Parotid Duct, External Approach"
380,Frilled dragon,1841,"Repair Right Internal Iliac Artery, Percutaneous Approach"
381,"Camel, dromedary",4604,"Occlusion of Left Ureter, Open Approach"
382,Black kite,4600,"Bypass Left Common Iliac Artery to Bilateral Internal Iliac Arteries with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
383,"Sandpiper, spotted wood",3735,Laser Interstitial Thermal Therapy of Brain Stem
384,"Bat, madagascar fruit",807,"Excision of Left Temporal Bone, Percutaneous Approach, Diagnostic"
385,"Turkey, common",1303,"Replacement of Left Hand Skin with Autologous Tissue Substitute, Partial Thickness, External Approach"
386,Indian tree pie,515,"Replacement of Left Internal Mammary Artery with Nonautologous Tissue Substitute, Open Approach"
387,"Cormorant, flightless",3250,"Extraction of Left Vocal Cord, Via Natural or Artificial Opening"
388,Common goldeneye,2075,"Replacement of Right Nipple with Autologous Tissue Substitute, Percutaneous Approach"
389,Blackish oystercatcher,2563,"Supplement Bilateral Spermatic Cords with Nonautologous Tissue Substitute, Open Approach"
390,Squirrel glider,2653,"Insertion of Tissue Expander into Face Subcutaneous Tissue and Fascia, Open Approach"
391,Painted stork,353,Plain Radiography of Thoracic Disc(s) using Low Osmolar Contrast
392,Sacred ibis,919,"Release Lower Gingiva, External Approach"
393,African black crake,3827,"Release Left Ankle Bursa and Ligament, Percutaneous Approach"
394,"Pademelon, red-legged",953,"Revision of Stimulator Lead in Bladder, Percutaneous Endoscopic Approach"
395,"Fox, cape",2741,"Drainage of Right Hand Tendon, Percutaneous Approach"
396,"Coot, red-knobbed",2562,"Drainage of Ascending Colon with Drainage Device, Percutaneous Approach"
397,"Magpie, black-backed",643,"Revision of Synthetic Substitute in Right Scapula, Percutaneous Approach"
398,Chilean flamingo,2275,"Bypass Sigmoid Colon to Sigmoid Colon with Autologous Tissue Substitute, Open Approach"
399,"Cormorant, king",699,"Supplement Right Trunk Bursa and Ligament with Nonautologous Tissue Substitute, Open Approach"
400,"Squirrel, smith's bush",3924,"Drainage of Left Thorax Bursa and Ligament, Open Approach"
401,Great horned owl,3924,Therapeutic Exercise Treatment of Circulatory System - Head and Neck using Prosthesis
402,"Robin, white-throated",3728,"Revision of Autologous Tissue Substitute in Coccygeal Joint, Percutaneous Approach"
403,"Shrew, mandras tree",1031,"Excision of Right Upper Femur, Percutaneous Approach, Diagnostic"
404,Sally lightfoot crab,2837,"Drainage of Pharynx, Percutaneous Endoscopic Approach, Diagnostic"
405,Nelson ground squirrel,86,"Removal of Nonautologous Tissue Substitute from Neck, Percutaneous Endoscopic Approach"
406,"Viper, egyptian",4544,"Insertion of Ring External Fixation Device into Right Lower Femur, Percutaneous Approach"
407,"Macaque, rhesus",2484,"Restriction of Accessory Pancreatic Duct, Percutaneous Endoscopic Approach"
408,Blue duck,1217,"Extirpation of Matter from Papillary Muscle, Percutaneous Approach"
409,Blue-breasted cordon bleu,3225,"Transfer Left Lower Leg Muscle with Skin and Subcutaneous Tissue, Percutaneous Endoscopic Approach"
410,Blue-faced booby,2779,"Supplement Right Finger Phalanx with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
411,"Squirrel, indian giant",226,"Revision of Nonautologous Tissue Substitute in Left Patella, External Approach"
412,White-throated kingfisher,1923,"Insertion of Radioactive Element into Left Buttock, Percutaneous Approach"
413,"Cormorant, pied",2313,"Dilation of Right Brachial Artery with Four or More Intraluminal Devices, Percutaneous Approach"
414,"Brocket, red",320,Computerized Tomography (CT Scan) of Trachea/Airways using Low Osmolar Contrast
415,Chestnut weaver,4127,"Change Other Device in Products of Conception, Via Natural or Artificial Opening"
416,Little brown dove,897,"Bypass Left External Jugular Vein to Upper Vein with Synthetic Substitute, Open Approach"
417,Southern tamandua,3371,Caregiver Training in Communication Skills using Computer
418,"Capuchin, weeper",58,"Feeding/Eating Treatment using Assistive, Adaptive, Supportive or Protective Equipment"
419,Malleefowl,2456,Computerized Tomography (CT Scan) of Left Lower Leg using Low Osmolar Contrast
420,Coke's hartebeest,2321,"Supplement Left 2nd Toe with Autologous Tissue Substitute, Open Approach"
421,Potoroo,4340,"Repair Right Foot Muscle, Open Approach"
422,"Goose, spur-winged",1346,"Alteration of Left Shoulder Region with Autologous Tissue Substitute, Percutaneous Approach"
423,"Parrot, hawk-headed",1320,"Drainage of Middle Colic Artery with Drainage Device, Open Approach"
424,"Langur, common",4147,"Drainage of Right Acromioclavicular Joint, Percutaneous Approach"
425,"Nighthawk, common",4148,"Dilation of Left Foot Vein with Intraluminal Device, Open Approach"
426,"Booby, blue-footed",1342,"Inspection of Epididymis and Spermatic Cord, Open Approach"
427,Roseate cockatoo,758,"Transfer Trochlear Nerve to Facial Nerve, Percutaneous Endoscopic Approach"
428,"Insect, stick",1411,"Imaging, Gastrointestinal System, Computerized Tomography (CT Scan)"
429,"Cardinal, red-capped",3777,"Reposition Lumbar Vertebra with Internal Fixation Device, Open Approach"
430,Northern fur seal,4045,Low Dose Rate (LDR) Brachytherapy of Thyroid using Iridium 192 (Ir-192)
431,Wolf spider,2040,"Revision of Nonautologous Tissue Substitute in Thoracic Vertebral Joint, Percutaneous Approach"
432,"Sloth, two-toed tree",1345,"Bypass Duodenum to Ileum with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
433,"Whale, baleen",2270,"Bypass Cerebral Ventricle to Blood Vessel with Synthetic Substitute, Open Approach"
434,"Bison, american",797,Computerized Tomography (CT Scan) of Bladder using Low Osmolar Contrast
435,Neotropic cormorant,240,"Supplement Left Ankle Tendon with Nonautologous Tissue Substitute, Open Approach"
436,"Hyena, spotted",3089,"Dilation of Left Temporal Artery with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach"
437,"Baboon, olive",2094,"Revision of Synthetic Substitute in Left Upper Extremity, Percutaneous Approach"
438,"Cockatoo, long-billed",4106,"Insertion of Internal Fixation Device into Right Thumb Phalanx, Percutaneous Approach"
439,"Seal, harbor",3796,"Introduction of Anti-inflammatory into Lower GI, Via Natural or Artificial Opening"
440,Two-banded monitor,3229,"Insertion of Spacer into Lumbar Vertebral Joint, Percutaneous Approach"
441,Andean goose,2393,"Dilation of Right Face Vein with Intraluminal Device, Open Approach"
442,Royal tern,1588,"Dilation of Right Internal Mammary Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach"
443,White-throated monitor,2697,"Repair Nervous System in Products of Conception, Via Natural or Artificial Opening"
444,Mountain duck,93,"Restriction of Left Foot Artery with Extraluminal Device, Open Approach"
445,Dark-winged trumpeter,2013,"Measurement of Urinary Resistance, Via Natural or Artificial Opening"
446,"Waterbuck, defassa",84,Range of Motion and Joint Mobility Treatment of Neurological System - Whole Body using Orthosis
447,"Phalarope, northern",4963,"Reattachment of Left Lung, Open Approach"
448,Little brown dove,437,"Reposition Right Hip Tendon, Open Approach"
449,Common melba finch,2390,"Excision of Right Nipple, Open Approach"
450,"Stork, greater adjutant",2260,"Supplement of Back Subcutaneous Tissue and Fascia with Nonautologous Tissue Substitute, Percutaneous Approach"
451,Australian spiny anteater,1015,"Revision of Synthetic Substitute in Left Hip Joint, Acetabular Surface, Open Approach"
452,"Phalarope, red-necked",2810,"Drainage of Bladder, Via Natural or Artificial Opening, Diagnostic"
453,Common pheasant,3779,"Bypass Left Ventricle to Left Pulmonary Artery with Nonautologous Tissue Substitute, Open Approach"
454,"Marmot, yellow-bellied",3399,"Excision of Left Atrium, Open Approach, Diagnostic"
455,Bush dog,4156,Aerobic Capacity and Endurance Assessment of Circulatory System - Whole Body using Other Equipment
456,"Peccary, collared",4675,"Occlusion of Left Spermatic Cord, Open Approach"
457,"Bat, little brown",2094,"Resection of Right Sphenoid Sinus, Open Approach"
458,Common long-nosed armadillo,3075,Planar Nuclear Medicine Imaging of Upper Extremity using Other Radionuclide
459,White-throated robin,2718,"Drainage of Right Axilla, Percutaneous Endoscopic Approach"
460,Downy woodpecker,4293,"Destruction of Left Breast, Percutaneous Approach"
461,Asian water dragon,4897,"Control Bleeding in Left Lower Arm, Percutaneous Endoscopic Approach"
462,Sockeye salmon,1665,"Bypass Descending Colon to Descending Colon with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic"
463,Violet-crested turaco,1673,"Destruction of Right Lower Arm and Wrist Tendon, Open Approach"
464,"Booby, blue-faced",222,"Drainage of Para-aortic Body, Open Approach, Diagnostic"
465,"Phalarope, northern",4467,"Removal of Drainage Device from Left Ear, External Approach"
466,Swainson's francolin,3269,"Extirpation of Matter from Mediastinum, Percutaneous Approach"
467,"Bunting, crested",4512,"Supplement Thoracolumbar Vertebral Joint with Autologous Tissue Substitute, Open Approach"
468,Red-tailed hawk,2771,"Extirpation of Matter from Left Lower Eyelid, Open Approach"
469,"Stork, greater adjutant",3155,"Replacement of Right Palatine Bone with Autologous Tissue Substitute, Percutaneous Approach"
470,"Seal, harbor",1847,"Restriction of Left Internal Mammary Artery with Extraluminal Device, Percutaneous Endoscopic Approach"
471,"Otter, cape clawless",4095,"Revision of Nonautologous Tissue Substitute in Nose, Via Natural or Artificial Opening"
472,Bee-eater (unidentified),2088,Computerized Tomography (CT Scan) of Bilateral Renal Veins using High Osmolar Contrast
473,White-winged dove,4027,"Occlusion of Ileum, Via Natural or Artificial Opening"
474,"Shelduck, european",2465,"Release Large Intestine, Via Natural or Artificial Opening Endoscopic"
475,Malleefowl,3660,"Insertion of Internal Fixation Device into Right Wrist Joint, Open Approach"
476,Bateleur eagle,3459,Magnetic Resonance Imaging (MRI) of Bilateral Adrenal Glands
477,"Insect, stick",3137,Low Dose Rate (LDR) Brachytherapy of Neck Lymphatics using Iodine 125 (I-125)
478,Australian spiny anteater,4008,Speech and/or Language Screening Assessment
479,"Eagle, golden",2943,"Repair Left Glenoid Cavity, Percutaneous Endoscopic Approach"
480,"Jackrabbit, white-tailed",2277,"Release Right Femoral Artery, Percutaneous Endoscopic Approach"
481,Crab (unidentified),2606,"Detachment at Left Shoulder Region, Open Approach"
482,Chilean flamingo,2985,"Drainage of Right Internal Jugular Vein, Open Approach, Diagnostic"
483,"Lizard, desert spiny",4822,"Excision of Right Upper Femur, Percutaneous Approach"
484,Brown capuchin,996,Plain Radiography of Left Sternoclavicular Joint
485,Guerza,2078,"Drainage of Left Lower Leg Skin, External Approach"
486,Western palm tanager (unidentified),4203,"Drainage of Pelvic Region Subcutaneous Tissue and Fascia, Open Approach, Diagnostic"
487,"Glider, squirrel",2980,"Extirpation of Matter from Left Thumb Phalanx, Percutaneous Endoscopic Approach"
488,"Snake, western patch-nosed",4986,"Removal of Extraluminal Device from Kidney, Via Natural or Artificial Opening"
489,"Skunk, western spotted",4040,Collection of Other Fluid from Indwelling Device in Circulatory System
490,Tasmanian devil,812,"Revision of Autologous Tissue Substitute in Cervicothoracic Vertebral Disc, Open Approach"
491,"Monkey, rhesus",1398,"Dilation of Right Vertebral Artery, Bifurcation, with Intraluminal Device, Open Approach"
492,"Spoonbill, european",4184,"Extirpation of Matter from Left Scapula, Percutaneous Endoscopic Approach"
493,"Loris, slender",552,"Dilation of Left Vertebral Artery with Drug-eluting Intraluminal Device, Open Approach"
494,Boat-billed heron,2221,"Extirpation of Matter from Cul-de-sac, Via Natural or Artificial Opening Endoscopic"
495,"Lourie, grey",3732,"Resection of Left Shoulder Joint, Open Approach"
496,"Stilt, black-winged",4760,"Bypass Left Femoral Artery to Left Femoral Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
497,"Bird, bare-faced go away",1267,"Removal of Infusion Device from Left Carpal Joint, Percutaneous Endoscopic Approach"
498,Common nighthawk,2653,"Dilation of Ascending Colon, Percutaneous Approach"
499,Green-backed heron,3148,"Bypass Bilateral Vas Deferens to Right Epididymis, Open Approach"
500,Coqui francolin,1416,"Supplement Left Foot Vein with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
501,Red-shouldered glossy starling,3840,"Transfusion of Autologous Factor IX into Central Artery, Percutaneous Approach"
502,Marabou stork,2922,"Dilation of Left Vertebral Artery, Percutaneous Approach"
503,"Cat, civet",2794,"Removal of Spacer from Left Knee Joint, Percutaneous Endoscopic Approach"
504,Spotted hyena,1236,High Dose Rate (HDR) Brachytherapy of Pelvis Lymphatics using Iridium 192 (Ir-192)
505,Black-collared barbet,4179,"Fluoroscopy of Epidural Veins using High Osmolar Contrast, Guidance"
506,"Squirrel, indian giant",2242,"Introduction of Recombinant Human-activated Protein C into Coronary Artery, Open"
507,"Lark, horned",4952,Change Brace on Left Foot
508,"Kite, black",4980,Fluoroscopy of Ileal Diversion Loop
509,Greater adjutant stork,3739,"Reposition Right Subclavian Artery, Percutaneous Endoscopic Approach"
510,Honey badger,2779,"Alteration of Bilateral Breast with Autologous Tissue Substitute, External Approach"
511,Woylie,784,"Restriction of Right Subclavian Vein with Extraluminal Device, Percutaneous Approach"
512,"Penguin, magellanic",3314,"Removal of Internal Fixation Device from Right Lower Femur, Percutaneous Approach"
513,"Phascogale, brush-tailed",2235,"Occlusion of Right Subclavian Artery with Extraluminal Device, Open Approach"
514,"Sloth, two-toed tree",1575,"Alteration of Left Upper Eyelid with Nonautologous Tissue Substitute, External Approach"
515,"Frogmouth, tawny",3094,"Dilation of Right Vertebral Artery, Open Approach"
516,"Robin, kalahari scrub",3229,"Inspection of Pancreas, Percutaneous Approach"
517,Northern phalarope,2334,"Excision of Left Brachial Vein, Open Approach"
518,"Possum, common brushtail",1500,"Repair Right Lower Lung Lobe, Via Natural or Artificial Opening"
519,"Dragon, asian water",3232,"Restriction of Left Pulmonary Artery with Intraluminal Device, Percutaneous Approach"
520,"Dove, laughing",3940,"Reposition Left Carpal Joint, External Approach"
521,"Zorro, azara's",772,"Excision of Right Elbow Bursa and Ligament, Open Approach, Diagnostic"
522,"Kangaroo, black-faced",4627,"Resection of Pericardium, Percutaneous Endoscopic Approach"
523,"Phascogale, red-tailed",4255,"Replacement of Left Basilic Vein with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
524,Cormorant (unidentified),304,"Revision of Synthetic Substitute in Left Knee Joint, Open Approach"
525,Great horned owl,4489,"Restriction of Left Internal Mammary Artery with Intraluminal Device, Percutaneous Approach"
526,Great horned owl,3868,"Excision of Thoracic Spinal Cord, Percutaneous Approach"
527,Common boubou shrike,4551,"Supplement Right Sternoclavicular Joint with Synthetic Substitute, Percutaneous Endoscopic Approach"
528,Rock dove,3436,Traction of Chest Wall
529,Wolf spider,3316,"Supplement Left Wrist Region with Synthetic Substitute, Open Approach"
530,"Boa, malagasy ground",3065,"Restriction of Ileum, Percutaneous Endoscopic Approach"
531,"Macaw, green-winged",417,"Insertion of Infusion Device into Right Renal Vein, Open Approach"
532,Mallard,457,"Replacement of Upper Tooth, Multiple, with Autologous Tissue Substitute, External Approach"
533,Brown lemur,1324,"Drainage of Left Shoulder Joint, Open Approach, Diagnostic"
534,Koala,4057,"Drainage of Vagus Nerve, Percutaneous Endoscopic Approach, Diagnostic"
535,White-bellied sea eagle,497,"Revision of Monitoring Device in Liver, Open Approach"
536,Snowy sheathbill,409,"Bypass Innominate Artery to Left Lower Arm Artery with Autologous Venous Tissue, Open Approach"
537,"Pigeon, feral rock",893,"Inspection of Right Knee Joint, Open Approach"
538,"Hedgehog, south african",1136,"Drainage of Transverse Colon, Via Natural or Artificial Opening Endoscopic"
539,"Lizard, desert spiny",1522,"Occlusion of Right Pulmonary Vein with Intraluminal Device, Open Approach"
540,"Crane, blue",2044,"Reposition Right Ulna with Hybrid External Fixation Device, Percutaneous Endoscopic Approach"
541,Blue-footed booby,173,"Repair Right Main Bronchus, Percutaneous Endoscopic Approach"
542,Blue-faced booby,1607,"Reposition Left Fibula with External Fixation Device, Percutaneous Endoscopic Approach"
543,"Eagle, tawny",2559,"Bypass Jejunum to Sigmoid Colon with Synthetic Substitute, Percutaneous Endoscopic Approach"
544,Two-toed sloth,4755,"Dilation of Right Cephalic Vein, Percutaneous Endoscopic Approach"
545,African pied wagtail,143,"Fusion of Coccygeal Joint, Percutaneous Approach"
546,Mara,2921,"Insertion of Artificial Sphincter into Bladder Neck, Percutaneous Endoscopic Approach"
547,"Lion, african",589,"Removal of Intraluminal Device from Hepatobiliary Duct, External Approach"
548,"Lynx, african",1463,"Magnetic Resonance Imaging (MRI) of Head using Other Contrast, Unenhanced and Enhanced"
549,"Hoopoe, eurasian",884,"Replacement of Upper Gingiva with Nonautologous Tissue Substitute, Open Approach"
550,Western patch-nosed snake,2594,Planar Nuclear Medicine Imaging of Head and Neck using Technetium 99m (Tc-99m)
551,"Roadrunner, greater",1505,"Bypass Left Hepatic Duct to Cystic Duct, Percutaneous Endoscopic Approach"
552,Woodrat (unidentified),4226,"Drainage of Right Upper Leg Skin, External Approach"
553,"Wallaby, dama",3032,"Dilation of Right Hand Artery with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach"
554,White-fronted capuchin,670,"Bypass Left Hepatic Duct to Right Hepatic Duct, Open Approach"
555,"Ox, musk",4737,"Drainage of Right Metacarpophalangeal Joint, Open Approach"
556,"Dove, emerald-spotted wood",2756,"Dilation of Left External Iliac Vein, Open Approach"
557,Asian foreset tortoise,1327,"Removal of Synthetic Substitute from Left Acetabulum, Open Approach"
558,"Goose, cape barren",4870,"Drainage of Other Fluid from Products of Conception, Open Approach"
559,Barasingha deer,4314,"Bypass Right Common Iliac Artery to Left Internal Iliac Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
560,Crimson-breasted shrike,349,"Reposition Right Tibia with Internal Fixation Device, Open Approach"
561,"Heron, yellow-crowned night",2267,"Drainage of Left Tarsal, Open Approach"
562,"Bulbul, black-fronted",2745,"Dilation of Bladder Neck, Percutaneous Approach"
563,Galapagos albatross,1892,"Insertion of Radioactive Element into Right Axilla, Percutaneous Approach"
564,Malleefowl,4370,"Excision of Left Peroneal Artery, Percutaneous Endoscopic Approach, Diagnostic"
565,"Owl, white-browed",556,"Occlusion of Left Internal Jugular Vein with Extraluminal Device, Open Approach"
566,Warthog,3409,"Restriction of Left Pulmonary Artery, Open Approach"
