servicio_id,fecha_revision,descripcion_problema,costo,mascota_id,catalogo_diagnostico_id,empleado_id
172,02/16/2024,Phasellus in felis. Donec semper sapien a libero. Nam dui.,1935.17,172,172,49
173,07/09/2023,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,544.24,173,173,60
174,09/01/2023,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",1477.61,174,174,17
175,02/07/2024,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",991.8,175,175,34
176,02/17/2024,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",1950.33,176,176,15
177,03/20/2024,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",1163.53,177,177,37
178,03/20/2024,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,1243.33,178,178,25
179,02/12/2024,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",1504.9,179,179,58
180,09/16/2023,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,810.82,180,180,70
181,12/29/2023,Phasellus in felis. Donec semper sapien a libero. Nam dui.,763.99,181,181,38
182,04/14/2024,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",1781.04,182,182,22
183,11/21/2023,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",1195.92,183,183,56
184,01/08/2024,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,515.94,184,184,29
185,12/17/2023,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",583.23,185,185,17
186,11/01/2023,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",1375.0,186,186,17
187,05/11/2024,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,1361.21,187,187,28
188,03/03/2024,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",700.81,188,188,52
189,06/04/2024,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",1948.58,189,189,53
190,11/24/2023,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",1889.83,190,190,20
191,10/02/2023,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1116.63,191,191,12
192,09/09/2023,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",770.42,192,192,1
193,08/12/2023,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,862.88,193,193,69
194,07/29/2023,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",1311.61,194,194,8
195,11/13/2023,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",1044.64,195,195,38
196,03/22/2024,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",665.46,196,196,9
197,09/07/2023,Sed ante. Vivamus tortor. Duis mattis egestas metus.,1906.14,197,197,46
198,07/01/2023,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",1106.17,198,198,36
199,10/24/2023,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",1684.12,199,199,22
200,11/08/2023,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",989.76,200,200,49
201,10/23/2023,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,900.59,201,201,66
202,05/12/2024,Phasellus in felis. Donec semper sapien a libero. Nam dui.,1967.57,202,202,3
203,10/04/2023,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,527.55,203,203,66
204,10/28/2023,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",1416.89,204,204,42
205,08/12/2023,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",1425.84,205,205,52
206,10/01/2023,Phasellus in felis. Donec semper sapien a libero. Nam dui.,1357.15,206,206,4
207,11/21/2023,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,1408.55,207,207,65
208,06/30/2023,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,1777.22,208,208,2
209,04/22/2024,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",595.18,209,209,5
210,05/18/2024,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,868.9,210,210,54
211,03/22/2024,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",1020.82,211,211,66
212,04/15/2024,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",1187.29,212,212,15
213,10/06/2023,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,724.32,213,213,43
214,03/29/2024,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",1958.85,214,214,54
215,10/09/2023,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",1703.0,215,215,38
216,09/01/2023,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,1866.58,216,216,7
217,01/18/2024,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",1524.41,217,217,28
218,01/28/2024,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",1877.43,218,218,19
219,09/26/2023,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",550.7,219,219,59
220,08/14/2023,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",1372.58,220,220,69
221,03/30/2024,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",730.27,221,221,10
222,06/29/2023,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",1593.33,222,222,63
223,08/20/2023,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,889.81,223,223,34
224,04/02/2024,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,1522.84,224,224,13
225,05/21/2024,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,1514.14,225,225,2
226,06/10/2023,Phasellus in felis. Donec semper sapien a libero. Nam dui.,782.09,226,226,30
227,03/28/2024,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",729.41,227,227,23
228,06/08/2023,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",1289.55,228,228,68
229,05/10/2024,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",653.03,229,229,7
230,01/11/2024,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,1945.98,230,230,40
231,04/13/2024,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",1570.08,231,231,30
232,08/28/2023,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",1071.77,232,232,68
233,12/30/2023,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,720.64,233,233,21
234,02/14/2024,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,1725.93,234,234,60
235,02/23/2024,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,1999.35,235,235,35
236,06/26/2023,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,666.45,236,236,66
237,02/15/2024,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",939.65,237,237,36
238,09/28/2023,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",1850.74,238,238,30
239,06/04/2024,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",913.64,239,239,24
240,11/24/2023,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",1340.4,240,240,63
241,05/04/2024,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",1849.53,241,241,22
242,03/22/2024,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,513.9,242,242,62
243,04/04/2024,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,656.52,243,243,25
244,09/16/2023,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",999.01,244,244,4
245,03/05/2024,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",1425.34,245,245,63
246,06/28/2023,In congue. Etiam justo. Etiam pretium iaculis justo.,1100.39,246,246,57
247,06/12/2023,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",1066.11,247,247,37
248,04/13/2024,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,1086.02,248,248,29
249,04/25/2024,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,1786.42,249,249,46
250,02/02/2024,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,990.98,250,250,55
251,07/02/2023,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",846.46,251,251,52
252,06/01/2024,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,1064.6,252,252,9
253,11/09/2023,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",1701.28,253,253,26
254,02/19/2024,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,1422.23,254,254,38
255,11/03/2023,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,1630.45,255,255,24
256,07/04/2023,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,887.9,256,256,11
257,11/10/2023,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",742.09,257,257,36
258,03/01/2024,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",1530.97,258,258,26
259,02/07/2024,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",1810.12,259,259,9
260,08/28/2023,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",1537.32,260,260,70
261,12/13/2023,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",1205.3,261,261,45
262,01/12/2024,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,638.36,262,262,40
263,12/05/2023,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,816.5,263,263,62
264,07/12/2023,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,729.32,264,264,60
265,03/17/2024,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",1425.64,265,265,8
266,05/18/2024,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,1562.11,266,266,35
267,12/05/2023,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,608.26,267,267,19
268,10/21/2023,Sed ante. Vivamus tortor. Duis mattis egestas metus.,1789.58,268,268,41
269,02/22/2024,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",1181.27,269,269,1
270,09/06/2023,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,851.74,270,270,27
271,11/05/2023,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,731.6,271,271,43
272,03/15/2024,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,1882.42,272,272,19
273,09/12/2023,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,703.5,273,273,35
274,12/15/2023,Phasellus in felis. Donec semper sapien a libero. Nam dui.,1157.54,274,274,16
275,07/24/2023,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",1592.45,275,275,41
276,05/30/2024,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,1143.96,276,276,23
277,03/16/2024,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,835.57,277,277,55
278,03/25/2024,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,579.07,278,278,47
279,11/14/2023,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,1749.18,279,279,44
280,04/26/2024,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",814.34,280,280,13
281,06/16/2023,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1733.62,281,281,10
282,02/20/2024,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,1394.6,282,282,36
283,08/22/2023,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",867.08,283,283,36
284,06/19/2023,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,770.08,284,284,46
285,07/01/2023,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,1278.2,285,285,43
286,10/09/2023,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",997.04,286,286,31
287,06/07/2023,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,1452.49,287,287,46
288,09/13/2023,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",1128.64,288,288,18
289,02/23/2024,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",627.24,289,289,42
290,01/20/2024,Fusce consequat. Nulla nisl. Nunc nisl.,1329.23,290,290,68
291,07/01/2023,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",679.92,291,291,53
292,12/13/2023,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",935.46,292,292,48
293,01/29/2024,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,1011.69,293,293,20
294,10/12/2023,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",1406.96,294,294,12
295,10/04/2023,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",1153.73,295,295,39
296,04/17/2024,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,1835.31,296,296,19
297,04/16/2024,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",898.89,297,297,2
298,05/26/2024,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",1047.25,298,298,31
299,03/24/2024,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",1532.2,299,299,11
300,04/23/2024,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,1432.42,300,300,54
301,08/22/2023,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",1754.91,301,301,51
302,10/31/2023,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",1650.97,302,302,46
303,11/05/2023,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,567.99,303,303,59
304,07/07/2023,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,1764.24,304,304,61
305,11/14/2023,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,1335.73,305,305,7
306,12/24/2023,Phasellus in felis. Donec semper sapien a libero. Nam dui.,993.52,306,306,7
307,05/17/2024,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,1595.21,307,307,22
308,09/16/2023,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",1112.75,308,308,70
309,05/08/2024,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,1012.76,309,309,54
310,01/02/2024,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,1379.19,310,310,55
311,11/02/2023,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,1044.53,311,311,31
312,03/15/2024,Fusce consequat. Nulla nisl. Nunc nisl.,1371.49,312,312,29
313,03/25/2024,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",1190.25,313,313,69
314,09/22/2023,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,500.47,314,314,34
315,07/21/2023,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",1788.17,315,315,59
316,07/22/2023,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",1894.91,316,316,61
317,10/14/2023,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,1322.1,317,317,49
318,07/02/2023,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,1223.41,318,318,53
319,04/09/2024,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",1644.26,319,319,18
320,03/30/2024,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",1995.55,320,320,45
321,05/28/2024,Sed ante. Vivamus tortor. Duis mattis egestas metus.,1650.1,321,321,20
322,06/30/2023,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",632.64,322,322,12
323,03/03/2024,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",1001.04,323,323,70
324,09/24/2023,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",827.68,324,324,7
325,06/11/2023,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",1960.94,325,325,61
326,06/02/2024,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",1766.15,326,326,52
327,08/05/2023,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",511.98,327,327,45
328,03/09/2024,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",1136.36,328,328,46
329,06/07/2023,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",1991.9,329,329,26
330,09/08/2023,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,1249.27,330,330,59
331,02/06/2024,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,629.43,331,331,6
332,01/24/2024,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",1015.11,332,332,40
333,01/24/2024,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",1315.89,333,333,60
334,09/13/2023,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,1508.75,334,334,60
335,12/03/2023,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",760.42,335,335,47
336,12/16/2023,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,1385.61,336,336,22
337,05/23/2024,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,620.9,337,337,41
338,11/04/2023,Sed ante. Vivamus tortor. Duis mattis egestas metus.,501.17,338,338,5
339,01/22/2024,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,785.33,339,339,21
340,09/12/2023,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",564.15,340,340,53
341,11/30/2023,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",1048.95,341,341,67
342,02/16/2024,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,1387.63,342,342,70
343,06/10/2023,Sed ante. Vivamus tortor. Duis mattis egestas metus.,1500.99,343,343,20
344,02/08/2024,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,1506.12,344,344,1
345,11/25/2023,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,1743.26,345,345,58
346,03/23/2024,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",709.2,346,346,12
347,12/21/2023,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",868.84,347,347,12
348,06/16/2023,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",1366.83,348,348,51
349,06/18/2023,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,1168.72,349,349,47
